Date,EEG_sleep_duration_hour,EEG_sleep_duration_min,EEG_deep_hour,EEG_deep_min,EEG_REM_hour,EEG_REM_min,EEG_light_hour,EEG_light_min,EEG_wake_hour,EEG_wake_min,oura_sleep_duration_hour,oura_sleep_duration_min,oura_deep_hour,oura_deep_min,oura_REM_hour,oura_REM_min,oura_light_hour,oura_light_min,oura_wake_hour,oura_wake_min,whoop_sleep_duration_hour,whoop_sleep_duration_min,whoop_deep_hour,whoop_deep_min,whoop_REM_hour,whoop_REM_min,whoop_light_hour,whoop_light_min,whoop_wake_hour,whoop_wake_min
1/29/2023,6,59,1,18,1,52,3,53,0,14,6,41,2,57,0,34,0,30,0,57,6,40,1,25,1,53,3,22,0,31
1/30/2023,6,22,1,7,2,7,3,12,0,31,6,24,1,55,1,22,3,7,0,29,6,17,1,7,1,29,3,41,0,34
1/31/2023,5,29,1,14,0,38,3,43,0,5,8,21,3,18,1,2,4,2,0,50,7,50,1,26,1,57,4,27,1,5
2/1/2023,7,29,1,14,2,41,3,45,0,10,7,18,2,49,0,59,3,30,0,32,7,5,1,40,2,6,3,19,0,44
2/2/2023,8,40,1,14,2,59,4,30,0,10,8,31,3,8,1,19,4,5,0,20,7,43,1,43,2,2,3,58,0,52
2/3/2023,8,55,1,3,2,46,5,8,0,15,8,26,1,53,1,42,4,51,0,43,8,20,1,46,1,50,4,44,0,54
2/4/2023,8,28,0,59,3,12,4,22,0,15,8,4,2,15,1,30,4,20,0,40,8,9,1,34,0,47,5,48,0,37
2/5/2023,7,44,1,13,2,31,4,2,0,28,7,26,2,31,0,25,4,30,0,37,7,16,1,46,0,42,4,48,0,47
2/10/2023,9,5,1,40,3,18,4,11,0,4,8,29,2,52,1,49,3,49,0,47,8,24,2,25,1,59,4,0,0,45
2/11/2023,7,6,1,14,2,26,3,28,0,12,6,59,2,15,1,31,3,14,0,23,6,38,1,11,0,49,4,38,0,38
2/12/2023,6,33,1,10,2,17,3,10,0,17,6,20,1,45,1,21,3,15,0,22,6,7,1,14,1,54,2,57,0,36
2/13/2023,6,22,53,1,1,40,3,53,0,26,6,30,2,40,1,12,2,39,0,30,6,20,1,21,1,4,3,55,0,21
2/14/2023,5,16,1,9,1,23,2,47,0,31,5,27,2,2,0,8,3,18,0,21,5,3,1,4,1,3,2,56,0,18
2/15/2023,9,56,1,13,3,43,5,3,0,10,8,36,1,42,1,2,5,52,1,30,9,16,2,10,1,20,5,46,0,48
2/16/2023,6,20,1,14,2,29,2,40,0,25,9,20,2,33,2,21,4,27,0,41,6,13,1,18,1,52,3,3,0,14
2/18/2023,9,39,0,31,3,48,5,25,0,33,7,41,2,49,1,21,3,31,0,48,9,23,2,1,1,48,5,34,0,36
2/19/2023,7,36,1,10,2,39,3,52,0,10,6,9,2,9,0,16,3,45,0,26,7,30,1,14,2,0,4,16,0,15
2/21/2023,7,40,1,27,2,26,3,52,0,8,7,13,2,18,0,49,4,6,0,47,6,59,1,6,1,52,4,1,0,47
2/22/2023,6,19,1,3,1,38,3,43,0,11,8,4,2,18,1,36,4,11,0,44,5,45,1,23,1,37,2,45,0,39
2/23/2023,7,15,1,7,2,25,3,46,0,13,7,38,2,49,0,53,3,57,0,26,8,3,1,18,1,13,5,32,0,45
2/26/2023,7,29,1,20,2,49,3,26,0,7,8,10,2,52,1,44,3,55,0,32,7,11,1,12,2,49,3,10,0,27
2/27/2023,7,4,0,43,2,49,3,34,0,7,6,51,2,47,0,57,3,7,0,33,6,42,1,34,1,21,3,47,0,22
2/28/2023,8,27,1,6,3,18,4,8,0,9,8,10,2,52,1,44,3,35,0,32,8,8,2,1,1,44,4,23,0,31
3/1/2023,7,44,1,13,3,1,3,37,0,21,7,35,2,35,1,13,3,48,0,30,7,10,1,37,1,8,4,25,0,39
3/2/2023,8,25,1,6,3,15,4,10,0,37,8,29,3,17,1,50,3,23,0,39,8,8,1,54,2,32,3,42,0,35
3/3/2023,8,57,1,3,3,7,4,51,0,32,8,52,2,5,1,47,5,0,1,8,8,17,1,14,1,30,5,33,1,1
3/4/2023,6,9,1,15,2,39,2,19,0,7,6,34,2,39,1,12,2,43,0,42,5,47,1,25,0,57,3,25,0,28
3/6/2023,7,27,1,1,2,37,3,51,0,40,7,35,3,23,1,11,3,1,0,23,7,15,1,24,1,57,3,54,0,34
3/7/2023,7,59,1,27,2,50,3,44,0,9,7,46,3,34,1,11,3,2,0,41,7,20,1,49,2,53,2,38,0,46
3/12/2023,7,18,0,59,2,7,4,16,0,49,7,47,3,22,1,0,3,26,0,20,7,14,0,55,1,19,5,0,0,52
